step,"gamma=0.5,cap=0.5","gamma=0.1,cap=0.1","gamma=2.0,cap=1.0","gamma=0.1,cap=2.0","gamma=1.0,cap=2.0","gamma=0.1,cap=0.5","gamma=0.1,cap=1.0","gamma=2.0,cap=0.1","gamma=2.0,cap=0.5","gamma=2.0,cap=2.0","gamma=0.5,cap=2.0","gamma=0.5,cap=0.1","gamma=1.0,cap=0.1","gamma=0.5,cap=1.0","gamma=1.0,cap=1.0","gamma=1.0,cap=0.5"
0,33.242393493652344,33.234100341796875,33.250431060791016,33.23421096801758,33.24936294555664,33.2341194152832,33.23414993286133,33.25038528442383,33.250404357910156,33.25048828125,33.24248504638672,33.24237060546875,33.24925231933594,33.242427825927734,33.24930191040039,33.2492790222168
10,24.603452682495117,24.59431266784668,24.61053466796875,24.596965789794922,24.611440658569336,24.594844818115234,24.59552574157715,24.609323501586914,24.609851837158203,24.611970901489258,24.605575561523438,24.60291862487793,24.60878562927246,24.604135513305664,24.60999870300293,24.609315872192383
20,15.646244049072266,15.628791809082031,15.663698196411133,15.647212982177734,15.674365043640137,15.632444381713867,15.63720417022705,15.655366897583008,15.659012794494629,15.67359733581543,15.660982131958008,15.642598152160645,15.656108856201172,15.65098762512207,15.664437294006348,15.65975284576416
30,2.748948574066162,2.736687660217285,2.7618255615234375,2.7648417949676514,2.7780039310455322,2.7421908378601074,2.749392509460449,2.7490012645721436,2.7545711994171143,2.7774136066436768,2.771777391433716,2.7434003353118896,2.7495381832122803,2.756202220916748,2.762380599975586,2.7551138401031494
40,1.6373560428619385,1.6364463567733765,1.639145851135254,1.6452090740203857,1.6442638635635376,1.638143539428711,1.640368938446045,1.6352976560592651,1.636963129043579,1.6438968181610107,1.6443591117858887,1.6356751918792725,1.6356220245361328,1.6395595073699951,1.6394892930984497,1.6372946500778198
50,1.4966425895690918,1.4966248273849487,1.498260498046875,1.5053775310516357,1.5034152269363403,1.4983139038085938,1.5005334615707397,1.4944511651992798,1.496097207069397,1.5029842853546143,1.5036121606826782,1.4949778318405151,1.4948240518569946,1.4988317489624023,1.4986591339111328,1.4964807033538818
60,1.408883810043335,1.40884268283844,1.4121897220611572,1.4226934909820557,1.419892430305481,1.4115574359893799,1.4150938987731934,1.405981421470642,1.408677101135254,1.4197486639022827,1.4200230836868286,1.4061740636825562,1.4060930013656616,1.4124178886413574,1.4123141765594482,1.408792495727539
70,1.2997537851333618,1.2986592054367065,1.304591417312622,1.318739414215088,1.3156219720840454,1.3023080825805664,1.3072649240493774,1.2962431907653809,1.2997808456420898,1.3157398700714111,1.3156715631484985,1.2962238788604736,1.2962005138397217,1.304552435874939,1.304518222808838,1.2997254133224487
80,1.237931251525879,1.236533284187317,1.2410105466842651,1.2497880458831787,1.2485274076461792,1.2388980388641357,1.242136836051941,1.2355194091796875,1.237836241722107,1.2485089302062988,1.2486053705215454,1.235612392425537,1.2355536222457886,1.2411065101623535,1.2410391569137573,1.2378684282302856
90,1.208444595336914,1.2070707082748413,1.2109482288360596,1.2179158926010132,1.2171376943588257,1.209025502204895,1.2116848230361938,1.2064015865325928,1.2083278894424438,1.2170886993408203,1.2172168493270874,1.2065156698226929,1.2064536809921265,1.2110682725906372,1.2109999656677246,1.208379864692688
100,1.1887354850769043,1.1870627403259277,1.1913743019104004,1.198267936706543,1.1976606845855713,1.1892011165618896,1.1920095682144165,1.1864548921585083,1.188582181930542,1.1975852251052856,1.197737455368042,1.186609148979187,1.1865442991256714,1.1915264129638672,1.1914567947387695,1.188668966293335
110,1.16956627368927,1.166867971420288,1.1733719110488892,1.1823866367340088,1.1818037033081055,1.1700516939163208,1.1740920543670654,1.1661489009857178,1.169330358505249,1.1816762685775757,1.1818883419036865,1.1663880348205566,1.166307806968689,1.1736018657684326,1.1735196113586426,1.169485330581665
120,1.1472364664077759,1.1435953378677368,1.1524839401245117,1.1654237508773804,1.1647828817367554,1.147721767425537,1.1532922983169556,1.1428749561309814,1.1469590663909912,1.1645792722702026,1.1648845672607422,1.1431344747543335,1.1430529356002808,1.1527800559997559,1.1526859998703003,1.1471489667892456
130,1.1270015239715576,1.123693823814392,1.1321028470993042,1.1465798616409302,1.1459466218948364,1.127394437789917,1.1327933073043823,1.1231368780136108,1.126784086227417,1.1457149982452393,1.1460531949996948,1.1233294010162354,1.1232631206512451,1.1323579549789429,1.1322754621505737,1.1269289255142212
140,1.1126031875610352,1.109971284866333,1.1168079376220703,1.1296765804290771,1.1291438341140747,1.1129242181777954,1.117342233657837,1.1095319986343384,1.1124497652053833,1.128954529762268,1.1292364597320557,1.1096667051315308,1.1096113920211792,1.1169923543930054,1.1169246435165405,1.112542986869812
150,1.1026352643966675,1.100502371788025,1.1061217784881592,1.116960048675537,1.1165173053741455,1.1029289960861206,1.106565237045288,1.100116491317749,1.1025220155715942,1.1163822412490845,1.1165955066680908,1.1002172231674194,1.1001659631729126,1.1062570810317993,1.1061975955963135,1.102581262588501
160,1.0953693389892578,1.0935677289962769,1.0983830690383911,1.1077316999435425,1.107337236404419,1.0956593751907349,1.098784327507019,1.0932036638259888,1.0952812433242798,1.1072443723678589,1.1074063777923584,1.0932821035385132,1.0932326316833496,1.0984874963760376,1.0984320640563965,1.0953176021575928
170,1.0897881984710693,1.0882126092910767,1.0924904346466064,1.1008435487747192,1.100468397140503,1.090083360671997,1.092872977256775,1.0878589153289795,1.089717984199524,1.1004040241241455,1.1005319356918335,1.0879215002059937,1.087873935699463,1.0925735235214233,1.0925203561782837,1.0897387266159058
180,1.0853294134140015,1.0839130878448486,1.0878159999847412,1.0954993963241577,1.0951273441314697,1.0856294631958008,1.0881887674331665,1.0835702419281006,1.0852735042572021,1.0950840711593628,1.095187783241272,1.0836195945739746,1.0835760831832886,1.0878828763961792,1.0878324508666992,1.0852833986282349
190,1.0816669464111328,1.080362319946289,1.0839948654174805,1.0912102460861206,1.0908352136611938,1.0819644927978516,1.0843570232391357,1.0800390243530273,1.0816236734390259,1.0908085107803345,1.0908933877944946,1.0800765752792358,1.080038070678711,1.0840474367141724,1.0840011835098267,1.0816251039505005
200,1.0785962343215942,1.0773698091506958,1.0808018445968628,1.087673544883728,1.0872955322265625,1.0788817405700684,1.081146478652954,1.0770741701126099,1.0785644054412842,1.0872822999954224,1.0873502492904663,1.0771013498306274,1.0770677328109741,1.0808415412902832,1.0808000564575195,1.0785592794418335
210,1.07598078250885,1.0748085975646973,1.078086256980896,1.0846949815750122,1.0843167304992676,1.0762461423873901,1.0784083604812622,1.0745441913604736,1.075957179069519,1.0843125581741333,1.0843676328659058,1.0745640993118286,1.07453453540802,1.078116536140442,1.0780797004699707,1.0759484767913818
220,1.0737227201461792,1.072587251663208,1.0757453441619873,1.0821439027786255,1.0817707777023315,1.0739637613296509,1.0760406255722046,1.0723545551300049,1.0737048387527466,1.081772804260254,1.081817865371704,1.0723694562911987,1.0723435878753662,1.0757683515548706,1.0757358074188232,1.073694109916687
230,1.07174813747406,1.070637583732605,1.0737035274505615,1.079930305480957,1.0795681476593018,1.0719635486602783,1.0739704370498657,1.0704360008239746,1.0717353820800781,1.079574465751648,1.079610824584961,1.070446252822876,1.0704231262207031,1.073721170425415,1.0736918449401855,1.0717228651046753
240,1.070001244544983,1.0689072608947754,1.071903109550476,1.0779893398284912,1.0776422023773193,1.0701916217803955,1.0721410512924194,1.0687342882156372,1.0699926614761353,1.0776515007019043,1.0776814222335815,1.0687406063079834,1.0687203407287598,1.0719159841537476,1.071889877319336,1.0699785947799683
250,1.068440318107605,1.0673563480377197,1.0702989101409912,1.0762721300125122,1.075942873954773,1.068606972694397,1.0705101490020752,1.0672094821929932,1.0684350728988647,1.0759550333023071,1.0759786367416382,1.0672125816345215,1.0671944618225098,1.0703080892562866,1.0702842473983765,1.0684202909469604
260,1.0670316219329834,1.0659540891647339,1.0688576698303223,1.0747416019439697,1.074432134628296,1.0671768188476562,1.069042444229126,1.0658303499221802,1.067029356956482,1.074446201324463,1.074465274810791,1.0658304691314697,1.06581449508667,1.0688633918762207,1.068841576576233,1.0670132637023926
270,1.0657505989074707,1.0646756887435913,1.067550539970398,1.0733689069747925,1.0730795860290527,1.0658760070800781,1.0677119493484497,1.0645734071731567,1.065751314163208,1.0730955600738525,1.0731104612350464,1.0645709037780762,1.0645564794540405,1.0675530433654785,1.0675337314605713,1.0657340288162231
280,1.0645768642425537,1.0635037422180176,1.0663574934005737,1.0721302032470703,1.0718605518341064,1.0646848678588867,1.0664968490600586,1.0634194612503052,1.0645798444747925,1.071878433227539,1.0718892812728882,1.0634148120880127,1.0634019374847412,1.066356897354126,1.0663390159606934,1.064562201499939
290,1.0634944438934326,1.0624219179153442,1.065260887145996,1.0710057020187378,1.0707550048828125,1.0635871887207031,1.0653804540634155,1.0623540878295898,1.0635004043579102,1.0707746744155884,1.0707817077636719,1.0623469352722168,1.0623358488082886,1.0652575492858887,1.0652412176132202,1.063481330871582
300,1.062491536140442,1.0614186525344849,1.0642472505569458,1.0699803829193115,1.0697474479675293,1.062570571899414,1.0643483400344849,1.0613656044006348,1.0624996423721313,1.0697691440582275,1.0697730779647827,1.0613564252853394,1.0613465309143066,1.0642411708831787,1.0642263889312744,1.0624797344207764
310,1.0615572929382324,1.0604841709136963,1.0633050203323364,1.0690412521362305,1.0688252449035645,1.061624526977539,1.0633903741836548,1.0604443550109863,1.0615675449371338,1.0688483715057373,1.0688490867614746,1.060433030128479,1.0604242086410522,1.063297152519226,1.0632833242416382,1.061547040939331
320,1.060684323310852,1.05961012840271,1.062425971031189,1.0681769847869873,1.0679762363433838,1.0607404708862305,1.0624966621398926,1.059582233428955,1.0606964826583862,1.0680011510849,1.067999243736267,1.059569001197815,1.0595612525939941,1.062415599822998,1.0624030828475952,1.060674786567688
330,1.059865117073059,1.0587891340255737,1.0616025924682617,1.0673794746398926,1.0671929121017456,1.0599114894866943,1.0616599321365356,1.0587730407714844,1.0598794221878052,1.067219853401184,1.0672146081924438,1.0587577819824219,1.0587507486343384,1.0615897178649902,1.0615785121917725,1.0598564147949219
340,1.0590938329696655,1.058014988899231,1.0608289241790771,1.0666401386260986,1.0664669275283813,1.0591309070587158,1.060874342918396,1.0580108165740967,1.059110403060913,1.0664961338043213,1.0664876699447632,1.0579928159713745,1.0579867362976074,1.0608141422271729,1.060804009437561,1.0590860843658447
350,1.0583654642105103,1.0572799444198608,1.0600998401641846,1.0659531354904175,1.065792202949524,1.0583938360214233,1.0601335763931274,1.057289719581604,1.0583844184875488,1.0658236742019653,1.0658118724822998,1.0572682619094849,1.0572633743286133,1.0600823163986206,1.0600732564926147,1.0583586692810059
360,1.0576756000518799,1.056574821472168,1.0594104528427124,1.065313696861267,1.06516432762146,1.0576947927474976,1.0594334602355957,1.056604266166687,1.0576976537704468,1.0651977062225342,1.0651829242706299,1.0565769672393799,1.0565732717514038,1.059390664100647,1.0593822002410889,1.0576698780059814
370,1.057018518447876,1.0558788776397705,1.0587576627731323,1.0647163391113281,1.0645776987075806,1.0570268630981445,1.058769941329956,1.0559477806091309,1.057044506072998,1.0646135807037354,1.0645954608917236,1.0559055805206299,1.0559064149856567,1.0587354898452759,1.0587278604507446,1.0570136308670044
380,1.0563874244689941,1.0550960302352905,1.0581378936767578,1.0641584396362305,1.0640289783477783,1.0563825368881226,1.0581390857696533,1.055306315422058,1.0564208030700684,1.0640673637390137,1.0640462636947632,1.0552176237106323,1.055234432220459,1.0581128597259521,1.0581059455871582,1.0563843250274658
390,1.0557715892791748,1.0470532178878784,1.0575473308563232,1.0636354684829712,1.0635154247283936,1.0557403564453125,1.0575371980667114,1.054641842842102,1.0558210611343384,1.0635565519332886,1.0635318756103516,1.0541632175445557,1.0543712377548218,1.0575190782546997,1.057512879371643,1.0557729005813599
400,1.0551352500915527,0.9917483329772949,1.0569838285446167,1.0631452798843384,1.0630333423614502,1.0550061464309692,1.056959629058838,1.0535145998001099,1.0552343130111694,1.0630773305892944,1.0630491971969604,1.0035988092422485,1.019087791442871,1.0569508075714111,1.05694580078125,1.0551525354385376
410,1.0541759729385376,0.9850544929504395,1.0564438104629517,1.0626851320266724,1.0625808238983154,1.0482980012893677,1.0564002990722656,0.9990173578262329,1.0546324253082275,1.0626282691955566,1.062596082687378,0.9872288107872009,0.9883748292922974,1.0564035177230835,1.0563994646072388,1.0543614625930786
