step,"gamma=0.5,cap=0.5","gamma=0.1,cap=0.1","gamma=2.0,cap=1.0","gamma=0.1,cap=2.0","gamma=1.0,cap=2.0","gamma=0.1,cap=0.5","gamma=0.1,cap=1.0","gamma=2.0,cap=0.1","gamma=2.0,cap=0.5","gamma=2.0,cap=2.0","gamma=0.5,cap=2.0","gamma=0.5,cap=0.1","gamma=1.0,cap=0.1","gamma=0.5,cap=1.0","gamma=1.0,cap=1.0","gamma=1.0,cap=0.5"
0,0.005986364558339119,0.006258426699787378,0.005490013398230076,0.006256990600377321,0.00559035362675786,0.006258142180740833,0.006257766392081976,0.0054905591532588005,0.005490322597324848,0.005489380098879337,0.005985267460346222,0.005986655596643686,0.005591578781604767,0.005986020900309086,0.005591009743511677,0.005591337103396654
10,0.012590311467647552,0.014513948000967503,0.010661745443940163,0.01450403407216072,0.011627285741269588,0.014511926099658012,0.014509344473481178,0.010663090273737907,0.010662496089935303,0.010660205036401749,0.012584257870912552,0.012591853737831116,0.011630563996732235,0.012588337063789368,0.011629045009613037,0.011629888787865639
20,0.03592713177204132,0.03236984834074974,0.026779577136039734,0.03231200948357582,0.03281915560364723,0.032358087599277496,0.03234308212995529,0.02678610384464264,0.026783237233757973,0.026771878823637962,0.0359051488339901,0.03593265637755394,0.032836467027664185,0.03592006117105484,0.03282855078577995,0.03283299505710602
30,0.1778082400560379,0.1882748007774353,0.07077937573194504,0.18813058733940125,0.12730896472930908,0.18824638426303864,0.18820950388908386,0.07080322504043579,0.0707927718758583,0.07075051218271255,0.1777018904685974,0.17783455550670624,0.1274009495973587,0.17777448892593384,0.1273593008518219,0.12738293409347534
40,0.5518969893455505,0.3996172547340393,0.24746736884117126,0.39900916814804077,0.4765809178352356,0.39949750900268555,0.3993413746356964,0.24751491844654083,0.24749413132667542,0.24740907549858093,0.5517231822013855,0.5519393086433411,0.4767673909664154,0.5518423318862915,0.47668349742889404,0.47673115134239197
50,0.6717891693115234,0.6322116255760193,0.5552464723587036,0.6319024562835693,0.6605345010757446,0.63215172290802,0.6320725679397583,0.5553532242774963,0.555307149887085,0.5551135540008545,0.6715919971466064,0.6718354821205139,0.6607726812362671,0.6717279553413391,0.6606672406196594,0.6607272028923035
60,0.6810791492462158,0.6754108667373657,0.6488157510757446,0.6751943826675415,0.6775261759757996,0.6753695607185364,0.6753149628639221,0.6489426493644714,0.6488879919052124,0.6486581563949585,0.6809035539627075,0.6811199188232422,0.6777482032775879,0.681024968624115,0.6776502728462219,0.6777061223983765
70,0.6825994849205017,0.6805623769760132,0.6697303652763367,0.680245041847229,0.6804985404014587,0.680499792098999,0.6804185509681702,0.6699251532554626,0.6698411107063293,0.6694875359535217,0.6823175549507141,0.6826678514480591,0.6808618307113647,0.6825098395347595,0.6806983947753906,0.680790901184082
80,0.6833889484405518,0.6820482015609741,0.6773213148117065,0.6816380023956299,0.6817798018455505,0.6819736957550049,0.6818727254867554,0.6775127053260803,0.677431583404541,0.6770628690719604,0.6830295920372009,0.683468222618103,0.6822210550308228,0.6832807064056396,0.6820325255393982,0.6821411848068237
90,0.6834574341773987,0.6823102235794067,0.6804855465888977,0.6819568872451782,0.6821033954620361,0.6822487115859985,0.6821630001068115,0.6806357502937317,0.6805731654167175,0.6802724599838257,0.6831490397453308,0.6835223436355591,0.6824770569801331,0.6833672523498535,0.6823216676712036,0.6824119687080383
100,0.6829503178596497,0.6818845868110657,0.6817858219146729,0.6816092729568481,0.6817193627357483,0.681839644908905,0.6817747354507446,0.681887149810791,0.6818462014198303,0.6816266775131226,0.6827113032341003,0.6829966306686401,0.6820046305656433,0.6828833818435669,0.6818915009498596,0.6819584369659424
110,0.6820750832557678,0.6810882091522217,0.682185173034668,0.6808905005455017,0.6808932423591614,0.68105548620224,0.6810098886489868,0.6822451949119568,0.6822203993797302,0.6820886731147766,0.6819067001342773,0.6821089386940002,0.6810956597328186,0.6820283532142639,0.6810148358345032,0.681061863899231
120,0.6810495853424072,0.6801716685295105,0.682181179523468,0.6799672245979309,0.6797901391983032,0.680132269859314,0.680080235004425,0.6822603940963745,0.682225227355957,0.6820929646492004,0.6808709502220154,0.681093692779541,0.6800161004066467,0.6809921264648438,0.679912805557251,0.6799709796905518
130,0.6799687147140503,0.6792215704917908,0.6820467710494995,0.678985595703125,0.6785669922828674,0.6791809797286987,0.679123044013977,0.6821416020393372,0.6821017265319824,0.6819237470626831,0.6797477602958679,0.6800150275230408,0.6788398027420044,0.6799030303955078,0.6787253022193909,0.6787925362586975
140,0.6787918210029602,0.678216814994812,0.6818393468856812,0.6779959797859192,0.6772679686546326,0.67818284034729,0.678132176399231,0.6819263696670532,0.6818908452987671,0.681707501411438,0.6785773634910583,0.6788309216499329,0.6775280237197876,0.6787337064743042,0.6774280667304993,0.6774877309799194
150,0.6775224208831787,0.6771765947341919,0.6817368268966675,0.676986575126648,0.6758691668510437,0.6771482825279236,0.6771059632301331,0.6818140149116516,0.6817826628684998,0.6816131472587585,0.6773362755775452,0.677554726600647,0.6760948896408081,0.6774736642837524,0.6760110855102539,0.6760613322257996
160,0.676184356212616,0.6761270761489868,0.6819512844085693,0.6759628653526306,0.674371063709259,0.6761027574539185,0.6760664582252502,0.6820203065872192,0.6819924712181091,0.6818373203277588,0.6760236620903015,0.6762118935585022,0.6745662689208984,0.6761429309844971,0.6744946837425232,0.6745376586914062
170,0.6747978925704956,0.675087034702301,0.6821893453598022,0.6749409437179565,0.6727890372276306,0.6750653386116028,0.6750327944755554,0.6822530031204224,0.6822273135185242,0.682083010673523,0.6746557354927063,0.6748220324516296,0.6729617118835449,0.6747612953186035,0.6728982925415039,0.6729364395141602
180,0.6733754873275757,0.6740685701370239,0.6823160648345947,0.6739352941513062,0.6711379885673523,0.6740486025810242,0.6740192174911499,0.6823771595954895,0.6823524832725525,0.6822130680084229,0.673247218132019,0.6733973622322083,0.6712943315505981,0.6733429431915283,0.6712375283241272,0.6712716221809387
190,0.6719279289245605,0.6730806827545166,0.6823855638504028,0.6729563474655151,0.6694297194480896,0.6730621457099915,0.6730347871780396,0.6824489235877991,0.68242347240448,0.6822798252105713,0.6718094944953918,0.6719475388526917,0.6695734858512878,0.6718977093696594,0.6695216298103333,0.6695529222488403
200,0.6704623103141785,0.6721287965774536,0.6830306649208069,0.6720118522644043,0.6676732897758484,0.6721116304397583,0.6720858812332153,0.6830847859382629,0.6830629110336304,0.6829375624656677,0.6703519225120544,0.6704804301261902,0.6678070425987244,0.6704344153404236,0.667759120464325,0.6677882075309753
210,0.6689857840538025,0.6712183952331543,0.6839996576309204,0.6711069941520691,0.6658751964569092,0.6712018251419067,0.6711776256561279,0.6840476393699646,0.6840286254882812,0.6839147806167603,0.6688815951347351,0.6690028309822083,0.6660014986991882,0.6689596772193909,0.6659564971923828,0.6659837961196899
220,0.6675035953521729,0.6703524589538574,0.6849939823150635,0.6702450513839722,0.6640419363975525,0.6703368425369263,0.6703132390975952,0.685040295124054,0.6850218772888184,0.684911847114563,0.667404294013977,0.6675199270248413,0.6641624569892883,0.6674789786338806,0.6641198396682739,0.6641455292701721
230,0.6660208106040955,0.6695333123207092,0.6858636140823364,0.6694294810295105,0.6621787548065186,0.6695181131362915,0.669495701789856,0.6859084367752075,0.6858906745910645,0.6857836246490479,0.6659253835678101,0.6660361886024475,0.662294328212738,0.6659972667694092,0.6622536778450012,0.6622782945632935
240,0.6645416617393494,0.6687622666358948,0.6866562962532043,0.6686615347862244,0.6602899432182312,0.6687477231025696,0.6687259078025818,0.6867013573646545,0.6866834163665771,0.6865761876106262,0.6644493341445923,0.6645568013191223,0.6604017019271851,0.6645189523696899,0.6603623628616333,0.6603862047195435
250,0.6630706191062927,0.6680397987365723,0.68731290102005,0.6679414510726929,0.6583794951438904,0.6680259704589844,0.6680049896240234,0.6873582601547241,0.687340259552002,0.6872321367263794,0.6629799008369446,0.6630851626396179,0.6584886312484741,0.6630482077598572,0.6584507822990417,0.6584737300872803
260,0.6616101264953613,0.6673662066459656,0.6878718137741089,0.6672701239585876,0.656451404094696,0.6673529744148254,0.6673324108123779,0.6879183650016785,0.6878997683525085,0.6877892017364502,0.6615211367607117,0.6616240739822388,0.6565587520599365,0.6615883111953735,0.6565214991569519,0.6565440893173218
270,0.6601637601852417,0.6667404174804688,0.6883804202079773,0.666646420955658,0.6545093655586243,0.6667278409004211,0.6667080521583557,0.6884282231330872,0.6884089708328247,0.6882960200309753,0.660075843334198,0.6601776480674744,0.6546149849891663,0.6601423621177673,0.6545785069465637,0.6546007990837097
280,0.6587343215942383,0.6661619544029236,0.688835859298706,0.6660700440406799,0.652556300163269,0.666149914264679,0.666130781173706,0.6888852715492249,0.6888654828071594,0.6887490153312683,0.6586470007896423,0.6587473750114441,0.6526608467102051,0.6587133407592773,0.6526251435279846,0.6526469588279724
290,0.6573240160942078,0.6656290292739868,0.689246654510498,0.6655389666557312,0.65059494972229,0.6656174063682556,0.6655992269515991,0.6892979145050049,0.6892774105072021,0.6891568899154663,0.65723717212677,0.6573372483253479,0.6506989002227783,0.6573034524917603,0.6506638526916504,0.6506853699684143
