step,"gamma=0.5,cap=0.5","gamma=0.1,cap=0.1","gamma=2.0,cap=1.0","gamma=0.1,cap=2.0","gamma=1.0,cap=2.0","gamma=0.1,cap=0.5","gamma=0.1,cap=1.0","gamma=2.0,cap=0.1","gamma=2.0,cap=0.5","gamma=2.0,cap=2.0","gamma=0.5,cap=2.0","gamma=0.5,cap=0.1","gamma=1.0,cap=0.1","gamma=0.5,cap=1.0","gamma=1.0,cap=1.0","gamma=1.0,cap=0.5"
0,6.347285270690918,6.347737789154053,6.346414566040039,6.349243640899658,6.347901344299316,6.347983360290527,6.348334789276123,6.345821380615234,6.346065521240234,6.347317695617676,6.348569869995117,6.3470354080200195,6.346383094787598,6.347643852233887,6.34698486328125,6.346630573272705
10,3.7475433349609375,3.747060775756836,3.747506856918335,3.75758695602417,3.754946231842041,3.748623847961426,3.7509610652923584,3.7436556816101074,3.7451982498168945,3.7540459632873535,3.756563663482666,3.7459681034088135,3.7445337772369385,3.7498979568481445,3.7483959197998047,3.7460813522338867
20,1.039823055267334,1.0414522886276245,1.0406097173690796,1.0515198707580566,1.0451191663742065,1.0426700115203857,1.0446457862854004,1.0384819507598877,1.039299488067627,1.045032024383545,1.0461061000823975,1.038942813873291,1.038532018661499,1.0412408113479614,1.0406701564788818,1.0393530130386353
30,0.9962755441665649,1.0190794467926025,0.9960970282554626,1.1042269468307495,1.0018579959869385,1.024305820465088,1.033366322517395,0.993181049823761,0.9942976832389832,1.002313256263733,1.0060614347457886,0.9949285387992859,0.9929946064949036,0.9984514117240906,0.9958435893058777,0.9940871000289917
40,0.9686207175254822,0.9406542778015137,0.9752458333969116,2.323428153991699,1.0131720304489136,0.958076000213623,1.117416262626648,0.9667447805404663,0.9697583317756653,1.0269027948379517,0.989333987236023,0.9663656949996948,0.9638667702674866,0.9724283218383789,0.9710122346878052,0.96639484167099
50,0.7314631342887878,0.5537083148956299,0.9555532932281494,1.9607436656951904,1.0300809144973755,0.5598160624504089,0.5728678107261658,0.9458834528923035,0.9506304860115051,0.9881480932235718,0.9757590293884277,0.6296238899230957,0.9422846436500549,0.9274728894233704,0.9554920196533203,0.9499455690383911
60,0.5373991131782532,0.5352791547775269,0.941717803478241,1.6002202033996582,1.0285067558288574,0.5379618406295776,0.5456788539886475,0.5853636860847473,0.9346562027931213,0.9760024547576904,0.9725660085678101,0.5345154404640198,0.9312211871147156,0.5446046590805054,0.9433751702308655,0.9363787770271301
70,0.5229322910308838,0.5282583832740784,0.9298053979873657,1.5345996618270874,0.9834817051887512,0.5308290719985962,0.5362093448638916,0.7929859161376953,0.9040185213088989,0.9767748117446899,0.9737468361854553,0.5201722979545593,0.9221751093864441,0.5331885814666748,0.9312471151351929,0.9242156147956848
80,0.5161158442497253,0.5134285688400269,0.9241859316825867,1.529168725013733,0.9814459681510925,0.5165017247200012,0.5314567685127258,0.7441450953483582,0.7505437135696411,0.9799790382385254,0.975495457649231,0.5139647126197815,0.9167866706848145,0.5220420360565186,0.9242990016937256,0.9194322228431702
90,0.5125765204429626,0.5083049535751343,0.9208886623382568,1.526127815246582,0.983596682548523,0.5121645927429199,0.5198979377746582,0.7081413269042969,0.7668920755386353,1.0244933366775513,0.9779358506202698,0.5111634731292725,0.913837194442749,0.5180285573005676,0.9199724197387695,0.9153062105178833
100,0.510676383972168,0.5056310296058655,0.9182193279266357,1.5201882123947144,0.9885367751121521,0.5093161463737488,0.51576828956604,0.7152671217918396,0.7675079107284546,1.480913758277893,0.9811707735061646,0.50960773229599,0.9122232794761658,0.5151614546775818,0.917331337928772,0.913260817527771
110,0.5094952583312988,0.5036470293998718,0.9165805578231812,1.5182960033416748,0.9961628317832947,0.5068135261535645,0.513645350933075,0.7027232050895691,0.7559888958930969,1.7320101261138916,0.9850702881813049,0.5086134672164917,0.9111533761024475,0.5135301351547241,0.9147146940231323,0.9119842648506165
120,0.5086868405342102,0.5024639368057251,0.914427638053894,1.5183451175689697,1.0045818090438843,0.5055856108665466,0.5119554996490479,0.6961361169815063,0.749430775642395,1.8066484928131104,0.9893033504486084,0.5079042315483093,0.9103898406028748,0.5124906897544861,0.9133487939834595,0.911085307598114
130,0.5080903768539429,0.4999435842037201,0.9136232733726501,1.5194157361984253,1.0114353895187378,0.5047779679298401,0.5106086730957031,0.6872735023498535,0.7431500554084778,1.8245410919189453,0.9935516119003296,0.5073020458221436,0.9098237156867981,0.5118032693862915,0.9124280214309692,0.910416841506958
140,0.5076092481613159,0.4992600977420807,0.9130362868309021,1.5206111669540405,1.016359806060791,0.5041790008544922,0.509502649307251,0.6825420260429382,0.7397933602333069,1.8337253332138062,0.9976406693458557,0.5065106153488159,0.9093919396400452,0.5113540887832642,0.9117295145988464,0.9099044799804688
150,0.5071536898612976,0.4987472891807556,0.9125033617019653,1.5218886137008667,1.0199323892593384,0.5037059783935547,0.5090379118919373,0.6769846677780151,0.7349113821983337,1.8443812131881714,1.0015079975128174,0.5051447153091431,0.9090536236763,0.5110912322998047,0.9111782312393188,0.9095023274421692
160,0.5065680146217346,0.498334676027298,0.9120544791221619,1.5233075618743896,1.0226459503173828,0.5032500624656677,0.509204626083374,0.6734813451766968,0.7307540774345398,1.8786672353744507,1.0051332712173462,0.5047453045845032,0.908781886100769,0.5110183954238892,0.9107315540313721,0.9091796875
170,0.5046491026878357,0.4979919493198395,0.911699652671814,1.5249228477478027,1.0247993469238281,0.5021640658378601,0.5121465921401978,0.6657668352127075,0.717036783695221,1.914365530014038,1.0085002183914185,0.5039218068122864,0.9085582494735718,0.5112907886505127,0.9103627800941467,0.9089157581329346
180,0.5042635798454285,0.4977015554904938,0.9115205407142639,1.5267735719680786,1.026570439338684,0.5018107295036316,0.5178759694099426,0.6615221500396729,0.6584381461143494,1.975546956062317,1.0115876197814941,0.5037035346031189,0.9083704352378845,0.5123197436332703,0.9100544452667236,0.908695638179779
190,0.504051148891449,0.4974515438079834,0.9113452434539795,1.528864860534668,1.0280678272247314,0.5015653371810913,0.5231651067733765,0.6572229862213135,0.7154523134231567,2.1647658348083496,1.014378309249878,0.5035277009010315,0.9082097411155701,0.5138453245162964,0.9097930192947388,0.9085088968276978
200,0.5038812756538391,0.49723339080810547,0.9112049341201782,1.5311635732650757,1.0293623208999634,0.5013646483421326,0.5266695618629456,0.62523353099823,0.6911516785621643,2.353464126586914,1.0168672800064087,0.5033757090568542,0.9080691933631897,0.516447901725769,0.9095694422721863,0.9083482027053833
210,0.503736138343811,0.49704045057296753,0.9111194610595703,1.533637285232544,1.030500888824463,0.5011926293373108,0.5290423631668091,0.6199946999549866,0.6572338342666626,2.3844761848449707,1.0190666913986206,0.5032414793968201,0.9079447388648987,0.5228214263916016,0.9093759655952454,0.9082077145576477
220,0.5036088824272156,0.49686765670776367,0.9110493063926697,1.53634774684906,1.0315170288085938,0.501041829586029,0.5312700271606445,0.6308612823486328,0.6683377027511597,2.0981783866882324,1.0210005044937134,0.5031210780143738,0.9078333973884583,0.5336707830429077,0.9092068672180176,0.908083438873291
230,0.5034951567649841,0.4967110753059387,0.9110122919082642,1.539520263671875,1.0324349403381348,0.5009075403213501,0.5343628525733948,0.6190845370292664,0.6934438347816467,1.7209242582321167,1.0226999521255493,0.5030116438865662,0.9077327251434326,0.5457396507263184,0.9090582132339478,0.9079722166061401
240,0.5033923983573914,0.4965677559375763,0.9110286235809326,1.5435638427734375,1.033272624015808,0.5007866621017456,0.5422316193580627,0.6673321723937988,0.8300951719284058,1.5475733280181885,1.0241975784301758,0.5029112100601196,0.9076417088508606,0.5628547668457031,0.9089264869689941,0.9078717231750488
250,0.5032984614372253,0.4964352548122406,0.911050021648407,1.549021601676941,1.0340436697006226,0.5006769299507141,6.317704677581787,0.683850109577179,0.6788278222084045,1.4552788734436035,1.0255242586135864,0.5028181076049805,0.9075593948364258,0.5886889696121216,0.9088090062141418,0.9077805280685425
260,0.5032119154930115,0.4963120222091675,0.9110590219497681,1.556315541267395,1.0347585678100586,0.5005764961242676,3.558962106704712,0.6694710850715637,0.7763303518295288,1.3903782367706299,1.026707649230957,0.5027313232421875,0.9074850678443909,0.6320772767066956,0.9087033867835999,0.9076975584030151
270,0.5031316876411438,0.49619680643081665,0.9111445546150208,1.5651941299438477,1.0354260206222534,0.5004838109016418,1.2165422439575195,0.6571557521820068,0.6716851592063904,1.3691179752349854,1.0277711153030396,0.50264972448349,0.9074176549911499,0.6598991751670837,0.9086081981658936,0.9076219797134399
280,0.5030567049980164,0.49608853459358215,0.9112176299095154,1.5744953155517578,1.0360530614852905,0.500397801399231,1.2249541282653809,0.6759933829307556,0.6644399762153625,1.375360131263733,1.0287346839904785,0.5025727152824402,0.9073573350906372,0.6759315729141235,0.9085217118263245,0.9075528979301453
290,0.5029863715171814,0.49598681926727295,0.9113187789916992,1.582983136177063,1.0366449356079102,0.5003175735473633,1.2131686210632324,0.7091365456581116,0.6345743536949158,1.3870294094085693,1.0296149253845215,0.5024997591972351,0.9073033928871155,0.6872986555099487,0.9084431529045105,0.9074897766113281
300,0.5029198527336121,0.4958910346031189,0.9114424586296082,1.590179443359375,1.0372060537338257,0.5002424120903015,1.209389328956604,0.6807656288146973,0.6988221406936646,1.3819183111190796,1.0304256677627563,0.5024303197860718,0.9072555899620056,0.6956242322921753,0.9083712100982666,0.9074321389198303
310,0.5028569102287292,0.4958009123802185,0.9115637540817261,1.5962002277374268,1.0377408266067505,0.5001714825630188,1.2071757316589355,0.6842198371887207,0.7463213801383972,1.4131124019622803,1.0311782360076904,0.5023641586303711,0.9072133302688599,0.7017396688461304,0.908305287361145,0.9073796272277832
320,0.50279700756073,0.4957158863544464,0.9116919636726379,1.601331353187561,1.0382521152496338,0.500104546546936,1.2054505348205566,0.6667952537536621,0.6787809133529663,1.4399511814117432,1.0318821668624878,0.502301037311554,0.9071761965751648,0.7063000202178955,0.9082444310188293,0.9073317050933838
330,0.5027400255203247,0.49563589692115784,0.9118208885192871,1.6058341264724731,1.038743257522583,0.5000410676002502,1.2039984464645386,0.6567159295082092,0.679524838924408,1.636932134628296,1.0325450897216797,0.502240777015686,0.9071434736251831,0.7098302841186523,0.9081884622573853,0.9072883725166321
340,0.5026854872703552,0.4955604672431946,0.9119301438331604,1.6099077463150024,1.0392165184020996,0.4999808669090271,1.2020100355148315,0.6453402638435364,0.6660966873168945,1.696759819984436,1.0331737995147705,0.5021830797195435,0.9071146249771118,0.7127098441123962,0.9081366062164307,0.9072492718696594
350,0.5026332139968872,0.4954894483089447,0.9120251536369324,1.6136971712112427,1.039674997329712,0.4999234676361084,1.1308116912841797,0.681814968585968,0.6225259304046631,1.8116276264190674,1.0337737798690796,0.5021278858184814,0.9070889353752136,0.7152080535888672,0.9080885052680969,0.9072139859199524
360,0.5025831460952759,0.49542248249053955,0.9120994806289673,1.617313027381897,1.0401228666305542,0.4998687505722046,0.8690885305404663,0.5229430794715881,0.6682185530662537,1.7432762384414673,1.0343499183654785,0.5020751357078552,0.9070664048194885,0.7175038456916809,0.9080437421798706,0.9071822166442871
370,0.5025348663330078,0.49535930156707764,0.9121468663215637,1.6208420991897583,1.040570616722107,0.4998164176940918,0.8621084690093994,0.6130919456481934,0.7475166320800781,1.7131366729736328,1.0349056720733643,0.5020248293876648,0.9070461988449097,0.7197138667106628,0.9080020785331726,0.9071539044380188
380,0.5024884343147278,0.49529966711997986,0.9121749401092529,1.6243507862091064,1.0410510301589966,0.49976643919944763,0.8704676032066345,0.6494724750518799,0.6836574673652649,1.5544960498809814,1.0354448556900024,0.501976728439331,0.9070281982421875,0.7219218015670776,0.9079633355140686,0.9071282744407654
390,0.5024437308311462,0.4952431619167328,0.9122061729431152,1.6278945207595825,1.041602373123169,0.49971869587898254,0.8779451251029968,0.598595917224884,0.7152075171470642,1.4887350797653198,1.0359703302383423,0.501930832862854,0.9070121645927429,0.7241774797439575,0.9079273343086243,0.9071050882339478
400,0.5024007558822632,0.4951897859573364,0.9122557044029236,1.6315228939056396,1.0421184301376343,0.4996730089187622,0.8823374509811401,0.6154588460922241,0.6952944397926331,1.3799488544464111,1.0364843606948853,0.5018870830535889,0.906997799873352,0.7265232801437378,0.9078935980796814,0.9070842266082764
410,0.5023593902587891,0.49513933062553406,0.9123238325119019,1.6352812051773071,1.0425666570663452,0.49962928891181946,0.8822618126869202,0.5925254821777344,0.6782450675964355,1.3426156044006348,1.0369889736175537,0.5018453598022461,0.9069846868515015,0.7289940118789673,0.9078620076179504,0.9070653319358826
420,0.5023195147514343,0.4950917959213257,0.9125772714614868,1.639216423034668,1.042999029159546,0.49958738684654236,0.87420254945755,0.6035533547401428,0.6941975355148315,1.3445767164230347,1.0374863147735596,0.5018057823181152,0.9069730639457703,0.7316190600395203,0.9078325033187866,0.9070481657981873
430,0.5022810101509094,0.4950469434261322,0.9133189916610718,1.6433660984039307,1.0434246063232422,0.49954739212989807,0.8559635281562805,0.58197021484375,0.6722928285598755,1.369209885597229,1.0379778146743774,0.5017682909965515,0.9069623947143555,0.7344285845756531,0.9078049063682556,0.9070327281951904
440,0.5022439360618591,0.495004802942276,0.9272931218147278,1.6477736234664917,1.043837308883667,0.49950912594795227,0.8147403597831726,0.5916203260421753,0.689831018447876,1.6288869380950928,1.0384652614593506,0.5017330646514893,0.9069528579711914,0.7374482154846191,0.9077790379524231,0.9070184826850891
450,0.5022079944610596,0.4949652850627899,0.9293327331542969,1.65247642993927,1.0442448854446411,0.49947240948677063,0.7624682784080505,0.5746886730194092,0.6873019933700562,1.9520078897476196,1.038949728012085,0.5017001032829285,0.9069441556930542,0.740709125995636,0.9077550768852234,0.9070055484771729
460,0.5021733045578003,0.4949283003807068,0.9729849696159363,1.657521367073059,1.044649600982666,0.4994373023509979,0.7346193790435791,0.581278920173645,0.6697341203689575,2.6342086791992188,1.0394327640533447,0.5016694068908691,0.9069361090660095,0.7442467212677002,0.9077325463294983,0.9069937467575073
