step,"gamma=0.5,cap=0.5","gamma=0.1,cap=0.1","gamma=2.0,cap=1.0","gamma=0.1,cap=2.0","gamma=1.0,cap=2.0","gamma=0.1,cap=0.5","gamma=0.1,cap=1.0","gamma=2.0,cap=0.1","gamma=2.0,cap=0.5","gamma=2.0,cap=2.0","gamma=0.5,cap=2.0","gamma=0.5,cap=0.1","gamma=1.0,cap=0.1","gamma=0.5,cap=1.0","gamma=1.0,cap=1.0","gamma=1.0,cap=0.5"
0,0.0002581423905212432,0.00023921867250464857,0.00022613132023252547,0.0002385331317782402,0.00024494071840308607,0.000239097309531644,0.00023892722674645483,0.00022644223645329475,0.0002263101632706821,0.00022570660803467035,0.0002574751270003617,0.0002582855522632599,0.0002457349910400808,0.0002579429710749537,0.00024539849255234003,0.00024559354642406106
10,0.0012842151336371899,0.0023072287440299988,0.0005676778382621706,0.0022921194322407246,0.0009222511434927583,0.0023046331480145454,0.002301037311553955,0.0005724519724026322,0.0005705163348466158,0.0005609136424027383,0.001274342997930944,0.0012863986194133759,0.0009378032991662621,0.0012812460772693157,0.0009312736801803112,0.0009351233602501452
20,0.005884979851543903,0.09282946586608887,0.0012676066253334284,0.09085270017385483,0.0009068684885278344,0.0925343930721283,0.09209416061639786,0.0012860691640526056,0.0012791226617991924,0.0012309728190302849,0.005775065161287785,0.005902810487896204,0.0009519155719317496,0.005857323296368122,0.0009355477523058653,0.0009454763494431973
30,0.24938778579235077,0.6236542463302612,0.03465065360069275,0.6108116507530212,0.0057045333087444305,0.6230484843254089,0.622016429901123,0.03477869927883148,0.03472933918237686,0.034392502158880234,0.2489541918039322,0.2494419515132904,0.005970281548798084,0.24929669499397278,0.005873292218893766,0.005931551102548838
40,0.01473511103540659,0.6777021288871765,0.06930539011955261,0.3851441740989685,0.09168724715709686,0.6708582043647766,0.6246494054794312,0.07092572748661041,0.07029411941766739,0.06377499550580978,0.01424886379390955,0.014781815931200981,0.09739751368761063,0.014652574434876442,0.09643492102622986,0.0970475971698761
50,0.00017227567150257528,0.6920015811920166,0.00586634362116456,0.057273391634225845,0.017770936712622643,0.6919682025909424,0.6918149590492249,0.007079958450049162,0.006217791233211756,0.005003750324249268,6.868632772238925e-05,7.480989734176546e-05,0.027014583349227905,7.995885971467942e-05,0.02280840277671814,0.023919563740491867
60,1.231122951139696e-05,0.6922749280929565,0.000834401638712734,0.003105564508587122,0.0005463515990413725,0.6922701597213745,0.6922506093978882,0.09495855122804642,0.0010169378947466612,0.0005878112278878689,3.521950202411972e-05,1.2928506293974351e-05,0.0022343688178807497,1.0786451639432926e-05,0.0007905536913312972,0.0010361765744164586
70,9.060192496690433e-06,0.6920218467712402,0.0017380533972755075,0.0005681819748133421,0.00015368449385277927,0.6920188069343567,0.692009687423706,0.07085984945297241,0.008762880228459835,0.0015388419851660728,3.0377339498954825e-05,9.358665010950062e-06,0.00035243708407506347,8.662183063279372e-06,9.792864148039371e-05,0.00013636249059345573
80,5.8822165556193795e-06,0.6915888786315918,0.004355704877525568,0.00033424264984205365,9.812876669457182e-05,0.691582441329956,0.6915701627731323,0.09408000856637955,0.06891398131847382,0.003912812564522028,2.6377176254754886e-05,6.064675289962906e-06,0.00010959489736706018,5.40934252057923e-06,3.482549436739646e-05,4.5128144847694784e-05
90,4.069958777108695e-06,0.6910839676856995,0.005177251994609833,0.00022041915508452803,7.414376887027174e-05,0.691076934337616,0.6910491585731506,0.1052251085639,0.067045196890831,0.0038258943241089582,2.3463628167519346e-05,4.123370672459714e-06,3.980332985520363e-05,3.7442234770423966e-06,1.660176712903194e-05,1.9655213691294193e-05
100,3.060543804167537e-06,0.6905471086502075,0.006179405841976404,0.00015370649634860456,5.972435246803798e-05,0.690537691116333,0.6905077695846558,0.10961239039897919,0.0669993981719017,0.0018712780438363552,2.0969629986211658e-05,3.210153181498754e-06,1.5620869817212224e-05,2.9173470466048457e-06,9.151460290013347e-06,8.656622412672732e-06
110,2.5803324206208345e-06,0.6900026798248291,0.0062265158630907536,0.00010854197898879647,4.9863192543853074e-05,0.6899914741516113,0.6899558901786804,0.12023566663265228,0.07181822508573532,0.001020957948639989,1.902657822938636e-05,2.592904138509766e-06,6.989769644860644e-06,2.3756801965646446e-06,5.55293354409514e-06,4.3099089452880435e-06
120,2.1388234472397016e-06,0.689466655254364,0.007129739969968796,7.541808008681983e-05,4.2722385842353106e-05,0.6894543170928955,0.6894137859344482,0.12709537148475647,0.0761973112821579,0.0006351158954203129,1.7382546502631158e-05,2.234225348729524e-06,3.646576487881248e-06,2.054013521046727e-06,3.4135423447878566e-06,2.557952939241659e-06
130,2.0059430880792206e-06,0.688951849937439,0.0076750945299863815,5.221644096309319e-05,3.726123759406619e-05,0.6889375448226929,0.6888929605484009,0.1353631168603897,0.08024144917726517,0.0005871828179806471,1.584553137945477e-05,1.999074811465107e-06,2.058917289105011e-06,1.7986330931307748e-06,2.3889829208201263e-06,1.6381882232963108e-06
140,1.7993927485804306e-06,0.6884642839431763,0.008704721927642822,3.964727511629462e-05,3.280088640167378e-05,0.6884492039680481,0.6884023547172546,0.14253583550453186,0.08337815850973129,0.0006046234630048275,1.4562641808879562e-05,1.7744524711815757e-06,1.4013186273587053e-06,1.6905595430216636e-06,1.6421338386862772e-06,1.2799921478290344e-06
150,1.6933271353991586e-06,0.6880109906196594,0.009370021522045135,3.186142203048803e-05,2.931494964286685e-05,0.6879956722259521,0.6879468560218811,0.14973612129688263,0.08693715929985046,0.0006181707140058279,1.3441014743875712e-05,1.66831318892946e-06,1.0857314691747888e-06,1.5156832660068176e-06,1.273347152164206e-06,1.0649438308973913e-06
160,1.6501088566656108e-06,0.6875952482223511,0.010158457793295383,2.6537440135143697e-05,2.641116952872835e-05,0.6875795125961304,0.6875309348106384,0.15564410388469696,0.0895412489771843,0.000626968452706933,1.2406142559484579e-05,1.56126748152019e-06,1.0222163382422877e-06,1.4441098983297707e-06,1.0663918601494515e-06,9.080105201064725e-07
170,1.39575126922864e-06,0.6872193217277527,0.010906153358519077,2.2609401639783755e-05,2.403157122898847e-05,0.687204122543335,0.6871556043624878,0.16318821907043457,0.09162645041942596,0.0005972993094474077,1.1662928955047391e-05,1.429207145520195e-06,8.588618811700144e-07,1.2509386806414113e-06,8.575200354243862e-07,8.640732858111733e-07
180,1.3924428685641033e-06,0.6868835091590881,0.012561785988509655,1.970907032955438e-05,2.1792035113321617e-05,0.6868690848350525,0.6868218779563904,0.16855262219905853,0.08840221166610718,0.0005927863530814648,1.0977629244734999e-05,1.3646944125866867e-06,8.147090966303949e-07,1.2038027534799767e-06,8.817014531814493e-07,7.532308927693521e-07
190,1.2675972129727597e-06,0.6865874528884888,0.013825906440615654,1.733818862703629e-05,2.0047518773935735e-05,0.6865737438201904,0.6865288019180298,0.16903340816497803,0.035764098167419434,0.0005592957604676485,1.0169348570343573e-05,1.2382286058709724e-06,7.660241863050032e-07,1.1939664545934647e-06,6.995521744102007e-07,6.880326282043825e-07
200,1.2439095371519215e-06,0.6863290667533875,0.015115621499717236,1.546867861179635e-05,1.8542525140219368e-05,0.6863163709640503,0.6862741112709045,0.16939932107925415,0.03554995357990265,0.0005323241930454969,9.656897418608423e-06,1.2970726857020054e-06,6.427706011891132e-07,1.0531031193750096e-06,6.182258402986918e-07,5.974970918032341e-07
210,1.1526699381647632e-06,0.6861060261726379,0.01620274782180786,1.3982416930957697e-05,1.7214639228768647e-05,0.6860945820808411,0.6860550045967102,0.131639301776886,0.06193729490041733,0.0005665838252753019,9.073919500224292e-06,1.251428443538316e-06,6.993492434048676e-07,9.451219398215471e-07,6.75909632263938e-07,7.107064448064193e-07
220,1.0730973372119479e-06,0.6859158873558044,0.0170273520052433,1.2747570508508943e-05,1.5905681721051224e-05,0.685905396938324,0.6858685612678528,0.13075149059295654,0.05126914381980896,0.0007483148947358131,8.497504495608155e-06,1.1716361996150226e-06,6.635486329287232e-07,7.860146524762968e-07,5.758889756179997e-07,5.603848194368766e-07
230,1.0179248874919722e-06,0.6857549548149109,0.017987661063671112,1.16856590466341e-05,1.4838875358691439e-05,0.6857454776763916,0.6857100129127502,0.16555140912532806,0.03396889567375183,0.0013227453455328941,8.073901881289203e-06,1.0717608347476926e-06,6.53618940305023e-07,6.119332169873815e-07,6.546810027430183e-07,5.735923878091853e-07
240,9.10640721940581e-07,0.6856204271316528,0.019160857424139977,1.0828518497874029e-05,1.3818378647556528e-05,0.6856122016906738,0.6855621933937073,0.0976647436618805,0.021930262446403503,0.0019085598178207874,7.712059414188843e-06,1.0528842722123954e-06,5.698843210666382e-07,6.582874902960612e-07,5.900782298340346e-07,5.693942739526392e-07
250,1.0232452041236684e-06,0.6855088472366333,0.020040322095155716,1.0047606338048354e-05,1.2950895325047895e-05,0.6855016946792603,0.0635833740234375,0.0686030238866806,0.03783576563000679,0.00259219016879797,7.194136742327828e-06,1.0077320666823653e-06,5.58732722311106e-07,9.420302831131266e-07,5.427207270258805e-07,6.322578656181577e-07
